"('40.71043', '-73.94877')","(1, 1)"
"('40.73072', '-73.98905')","(1, 4)"
"('40.77682', '-73.98913')","(1, 2)"
"('40.78142', '-73.95417')","(2, 1)"
"('40.78573', '-73.97644')","(3, 4)"
"('40.71843', '-74.00053')","(1, 3)"
"('40.74225', '-73.97767')","(1, 3)"
"('40.78716', '-73.97168')","(2, 3)"
"('40.73003', '-73.99108')","(5, 1)"
"('40.72266', '-73.99797')","(2, 1)"
"('40.77822', '-73.95862')","(1, 1)"
"('40.73159', '-73.99478')","(1, 1)"
"('40.7993', '-73.94112')","(1, 3)"
"('40.77428', '-73.95729')","(3, 1)"
"('40.77981', '-73.95033')","(2, 1)"
"('40.71949', '-73.95594')","(2, 1)"
"('40.78704', '-73.97758')","(7, 1)"
"('40.73598', '-73.98945')","(6, 8)"
"('40.68672', '-73.99046')","(1, 2)"
"('40.74043', '-73.92303')","(1, 1)"
"('40.77048', '-73.98385')","(1, 1)"
"('40.75906', '-73.97262')","(3, 1)"
"('40.74729', '-73.97404')","(5, 3)"
"('40.75916', '-73.97674')","(2, 2)"
"('40.75791', '-73.97765')","(4, 3)"
"('40.77173', '-73.96124')","(5, 3)"
"('40.79092', '-73.96892')","(4, 1)"
"('40.79532', '-73.97128')","(4, 3)"
"('40.74059', '-73.98939')","(5, 1)"
"('40.75431', '-73.98686')","(1, 1)"
"('40.73178', '-74.00659')","(6, 1)"
"('40.73754', '-73.98408')","(2, 5)"
"('40.75289', '-73.98924')","(3, 6)"
"('40.74768', '-73.97878')","(4, 2)"
"('40.73949', '-73.98266')","(7, 3)"
"('40.70162', '-73.98967')","(1, 1)"
"('40.74348', '-73.92147')","(1, 4)"
"('40.76148', '-73.96059')","(8, 6)"
"('40.73736', '-73.99683')","(6, 5)"
"('40.77411', '-73.98862')","(2, 1)"
"('40.72103', '-73.90409')","(1, 1)"
"('40.71392', '-73.99955')","(1, 1)"
"('40.77495', '-73.96101')","(4, 1)"
"('40.72228', '-73.98016')","(1, 1)"
"('40.76628', '-73.98184')","(4, 4)"
"('40.74709', '-73.98344')","(1, 1)"
"('40.74026', '-73.99051')","(2, 3)"
"('40.73831', '-73.98774')","(9, 5)"
"('40.75034', '-73.98317')","(3, 5)"
"('40.72269', '-73.98786')","(2, 2)"
"('40.78326', '-73.95073')","(3, 1)"
"('40.79552', '-73.97592')","(1, 1)"
"('40.71728', '-73.99542')","(1, 5)"
"('40.71945', '-73.99439')","(2, 2)"
"('40.76426', '-73.91579')","(1, 2)"
"('40.77039', '-73.95411')","(10, 2)"
"('40.74018', '-73.98636')","(5, 13)"
"('40.73883', '-73.98314')","(7, 12)"
"('40.73373', '-74.00206')","(5, 1)"
"('40.72192', '-73.99003')","(1, 1)"
"('40.78384', '-73.97998')","(3, 1)"
"('40.73216', '-73.99429')","(3, 1)"
"('40.71767', '-74.00577')","(2, 1)"
"('40.77631', '-73.96212')","(3, 1)"
"('40.71574', '-74.00168')","(1, 2)"
"('40.73066', '-73.99884')","(2, 1)"
"('40.73879', '-73.97714')","(1, 6)"
"('40.74668', '-73.97449')","(3, 6)"
"('40.76248', '-73.96297')","(5, 1)"
"('40.79865', '-73.96147')","(2, 1)"
"('40.76161', '-73.97285')","(1, 1)"
"('40.74795', '-73.97945')","(1, 1)"
"('40.75723', '-73.98979')","(2, 8)"
"('40.73168', '-73.98219')","(2, 1)"
"('40.73038', '-73.98637')","(6, 2)"
"('40.72491', '-74.00464')","(1, 1)"
"('40.77303', '-73.97828')","(1, 2)"
"('40.68347', '-73.99972')","(1, 2)"
"('40.73275', '-73.99002')","(1, 6)"
"('40.70953', '-74.00841')","(1, 1)"
"('40.77159', '-73.90894')","(1, 1)"
"('40.71802', '-74.00723')","(1, 1)"
"('40.75535', '-73.97741')","(2, 2)"
"('40.75919', '-73.98461')","(4, 2)"
"('40.78246', '-73.97882')","(4, 1)"
"('40.74342', '-73.99612')","(10, 6)"
"('40.71369', '-74.01375')","(1, 3)"
"('40.73198', '-73.98196')","(1, 2)"
"('40.72167', '-73.98061')","(3, 1)"
"('40.71866', '-73.96349')","(1, 3)"
"('40.71379', '-74.00883')","(7, 1)"
"('40.73855', '-73.99968')","(2, 4)"
"('40.78659', '-73.96838')","(2, 2)"
"('40.75302', '-73.98542')","(4, 1)"
"('40.76843', '-73.96154')","(5, 2)"
"('40.74594', '-73.90005')","(1, 3)"
"('40.74039', '-73.97907')","(4, 1)"
"('40.67504', '-73.95638')","(1, 1)"
"('40.78517', '-73.97313')","(4, 3)"
"('40.72936', '-73.98399')","(2, 4)"
"('40.79166', '-73.96469')","(1, 1)"
"('40.72652', '-73.99584')","(7, 4)"
"('40.76311', '-73.96251')","(1, 3)"
"('40.70871', '-74.00728')","(1, 1)"
"('40.74354', '-73.98461')","(1, 1)"
"('40.76053', '-73.95835')","(2, 1)"
"('40.74162', '-73.99373')","(3, 8)"
"('40.72844', '-73.98179')","(7, 2)"
"('40.76354', '-73.96933')","(5, 1)"
"('40.77428', '-73.97736')","(5, 1)"
"('40.72859', '-73.98767')","(1, 4)"
"('40.72601', '-73.95741')","(2, 1)"
"('40.76623', '-73.96023')","(1, 1)"
"('40.76774', '-73.98211')","(2, 3)"
"('40.74202', '-73.98291')","(2, 2)"
"('40.75782', '-73.99306')","(2, 3)"
"('40.76739', '-73.98236')","(1, 3)"
"('40.71838', '-73.95713')","(1, 1)"
"('40.72582', '-73.98968')","(7, 1)"
"('40.73187', '-74.00878')","(1, 2)"
"('40.77879', '-73.98205')","(3, 2)"
"('40.80505', '-73.93903')","(3, 5)"
"('40.74197', '-73.98085')","(5, 1)"
"('40.74002', '-74.00529')","(5, 2)"
"('40.76616', '-73.95424')","(3, 1)"
"('40.73742', '-73.99261')","(8, 1)"
"('40.71413', '-73.98933')","(1, 1)"
"('40.73804', '-73.99633')","(2, 1)"
"('40.67329', '-73.95702')","(1, 1)"
"('40.73374', '-74.00629')","(11, 1)"
"('40.71746', '-74.01069')","(5, 1)"
"('40.73666', '-73.99734')","(10, 2)"
"('40.71453', '-73.93729')","(1, 1)"
"('40.77436', '-73.96354')","(4, 1)"
"('40.73908', '-73.99137')","(1, 5)"
"('40.79025', '-73.94563')","(1, 2)"
"('40.77106', '-73.95964')","(7, 3)"
"('40.77114', '-73.96799')","(2, 1)"
"('40.67488', '-73.92776')","(1, 1)"
"('40.76291', '-73.96979')","(1, 2)"
"('40.75373', '-73.88503')","(1, 2)"
"('40.82283', '-73.94191')","(1, 4)"
"('40.76363', '-73.97558')","(2, 1)"
"('40.80369', '-73.93791')","(1, 2)"
"('40.75898', '-73.96243')","(8, 2)"
"('40.68767', '-73.99333')","(1, 1)"
"('40.74409', '-73.99564')","(1, 12)"
"('40.71436', '-73.99282')","(1, 2)"
"('40.72697', '-73.98573')","(5, 4)"
"('40.75927', '-73.98088')","(3, 3)"
"('40.74154', '-73.98957')","(3, 12)"
"('40.75677', '-73.98271')","(7, 3)"
"('40.75655', '-73.97443')","(7, 1)"
"('40.75795', '-73.96319')","(1, 1)"
"('40.78895', '-73.97594')","(2, 1)"
"('40.76854', '-73.96569')","(3, 2)"
"('40.70495', '-74.01154')","(1, 1)"
"('40.78578', '-73.97853')","(2, 2)"
"('40.68736', '-73.99003')","(1, 1)"
"('40.75311', '-73.85999')","(1, 2)"
"('40.72293', '-73.98863')","(1, 10)"
"('40.74915', '-73.97269')","(1, 1)"
"('40.72246', '-73.98713')","(6, 1)"
"('40.73012', '-73.98946')","(2, 2)"
"('40.74967', '-73.99529')","(4, 4)"
"('40.77364', '-73.95985')","(12, 2)"
"('40.71859', '-73.98831')","(1, 1)"
"('40.77465', '-73.95409')","(4, 1)"
"('40.69427', '-73.99242')","(1, 1)"
"('40.74789', '-73.98916')","(1, 3)"
"('40.73646', '-73.98696')","(3, 3)"
"('40.73453', '-73.99226')","(3, 1)"
"('40.79794', '-73.94212')","(1, 2)"
"('40.72391', '-73.98797')","(3, 6)"
"('40.73403', '-73.99504')","(2, 5)"
"('40.72732', '-74.00732')","(1, 1)"
"('40.75603', '-73.97902')","(2, 5)"
"('40.80321', '-73.95253')","(1, 10)"
"('40.76548', '-73.91369')","(1, 7)"
"('40.76159', '-73.92458')","(1, 2)"
"('40.77422', '-73.98111')","(4, 2)"
"('40.77043', '-73.96011')","(4, 2)"
"('40.73926', '-73.99544')","(2, 3)"
"('40.72289', '-73.97972')","(2, 2)"
"('40.75336', '-73.97464')","(1, 1)"
"('40.73101', '-73.98591')","(3, 7)"
"('40.73094', '-73.99324')","(2, 1)"
"('40.74821', '-74.00748')","(1, 2)"
"('40.80163', '-73.96858')","(1, 1)"
"('40.74888', '-73.97584')","(3, 6)"
"('40.78131', '-73.94612')","(1, 3)"
"('40.80521', '-73.94735')","(1, 1)"
"('40.75978', '-73.97628')","(2, 2)"
"('40.72975', '-73.98973')","(1, 1)"
"('40.74966', '-73.98157')","(2, 3)"
"('40.79031', '-73.94768')","(1, 1)"
"('40.76498', '-73.96114')","(6, 2)"
"('40.77958', '-73.96183')","(8, 1)"
"('40.72525', '-74.00337')","(2, 1)"
"('40.70298', '-73.94585')","(1, 3)"
"('40.74464', '-74.00638')","(2, 1)"
"('40.76619', '-73.97954')","(3, 2)"
"('40.76927', '-73.98102')","(1, 1)"
"('40.71579', '-73.99055')","(1, 1)"
"('40.70738', '-74.00548')","(1, 1)"
